Full Name,Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),Pace Total,Shooting Total,Dribbling Total
Luis Vázquez,72,82,5500000,21,190,78,69,71,69
Eiji Kawashima,72,72,250000,39,185,82,72,71,71
Julian Ryerson,72,76,3100000,24,183,86,70,59,69
Stephen Kingsley,72,73,2400000,27,178,77,63,55,71
Jonathan Torres,72,76,3300000,25,187,73,61,71,67
Kaio Antonaldo Selva Mota,72,72,2400000,22,183,79,66,30,61
Mario Suárez Mata,72,72,650000,35,188,80,36,65,64
Cristian Álvarez,72,72,250000,36,186,83,74,68,73
Abdoulaye Touré,72,73,2300000,28,188,84,39,56,58
Konstantinos Laifis,72,72,2000000,29,186,84,64,58,68
Esteban Pavez,72,72,1600000,32,180,76,79,65,71
Emanuel Vignato,72,82,5500000,21,175,67,72,61,76
Martin Boyle,72,72,2300000,29,172,70,92,69,72
Yunus Akgün,72,78,3800000,21,173,65,82,67,77
Bryan Rovira,72,76,3000000,25,182,74,59,57,62
Michael Esser,72,72,400000,34,198,97,73,71,74
Javier Pinola,72,72,425000,39,180,79,65,61,70
Jesé Rodríguez Ruiz,72,72,2300000,29,178,80,75,71,73
Gregore de Magalhães da S.,72,72,2100000,28,181,78,76,55,68
Joaquín José Marín Ruz,72,72,1600000,32,178,74,71,60,69
Martin Hongla,72,78,3700000,24,181,77,79,69,75
Jack Price,72,72,2000000,29,170,87,47,51,65
Daniel Alexis Leite Figueira,72,79,4000000,23,189,82,72,68,74
Tajon Buchanan,72,78,3700000,23,183,69,92,62,74
Lyanco Neves Vojnovic,72,79,4300000,25,187,83,64,36,58
Thomas Goiginger,72,72,2300000,29,181,69,80,69,70
Igor Paolo Madinha Eustáquio,72,72,2600000,26,174,70,94,61,73
Harry Souttar,72,77,3200000,23,200,79,39,28,58
Sergi Canós Tenés,72,74,2900000,25,175,66,71,69,75
Matt Miazga,72,74,2600000,26,193,84,48,26,57
Adem Zorgane,72,79,4700000,22,184,81,60,69,70
Milad Mohammadi,72,72,2100000,28,177,70,84,59,72
Hugo Magnetti,72,76,3100000,24,180,75,52,49,71
Joe Scally,72,82,4800000,19,184,80,76,43,70
Pablo Renan dos Santos,72,72,1900000,30,186,80,62,39,53
Pol Lozano Vizuete,72,81,5000000,22,177,62,73,60,69
Facundo Ferreyra,72,72,2000000,31,186,76,59,73,73
Mitchell van Bergen,72,78,3800000,22,170,62,86,66,73
André Mikael Milazar Santoso,72,72,1900000,26,188,85,77,64,77
Jakob Glesnes,72,74,2400000,28,188,84,56,55,60
Jack Elliott,72,75,2700000,26,198,83,52,24,50
Michel Ange Balikwisha,72,80,5500000,21,178,71,85,66,75
Alam Cristian Boas Anjos,72,72,2300000,26,180,75,60,39,66
Jordy de Wijs,72,74,2500000,27,189,95,52,51,48
Francisco F. da Conceição,72,86,5500000,19,168,61,79,61,80
João Carlos Reis Graça,72,72,1600000,32,185,77,68,56,68
Jordi Quintillà Guasch,72,72,2100000,28,181,73,68,68,74
Baldomero Perlaza,72,72,2000000,30,187,82,57,51,61
Ismael Díaz,72,76,3300000,25,190,80,87,69,73
Abdelhamid Sabiri,72,77,3400000,25,186,80,60,69,77
Eladio Zorrilla Jiménez,72,72,2000000,31,176,75,75,72,74
Fredrik Gulbrandsen,72,72,2300000,29,175,79,85,71,74
Stefano Denswil,72,72,2000000,29,188,82,57,56,65
Isaac Carcelén Valencia,72,72,2100000,29,174,70,77,58,69
Viktor Fischer,72,72,2400000,28,181,79,72,66,75
Joe Rothwell,72,73,2700000,27,183,77,77,62,75
Lucas Villafañez,72,72,2300000,30,171,65,73,67,75
Paul Seguin,72,73,2700000,27,185,82,61,59,71
Fco. Javier Hidalgo Gómez,72,72,2100000,28,178,72,87,56,69
Josh Risdon,72,72,2100000,29,167,70,75,49,66
Javairô Dilrosun,72,77,3500000,24,174,74,86,63,78
Mario Vukovic,72,83,4800000,20,189,80,65,33,47
Valeri Qazaishvili,72,72,2300000,29,174,74,74,69,77
Lorenzo Tonelli,72,72,1500000,32,183,75,54,31,58
Bill Hamid,72,72,1200000,31,191,102,74,66,74
Atiba Hutchinson,72,72,750000,39,187,83,52,65,70
Trent Sainsbury,72,72,0,30,183,76,64,58,54
Victor Pálsson,72,72,1600000,31,186,82,73,56,60
Jordan Lukaku,72,72,2500000,27,177,86,85,61,73
Ager Aketxe Barrutia,72,72,2400000,28,174,69,60,77,72
Lamine Fomba,72,79,4400000,24,188,68,68,52,73
Mubarak Wakaso,72,72,1900000,31,171,66,83,69,72
Davide Biraschi,72,74,2500000,27,182,77,61,36,69
Nikita Haikin,72,75,2400000,26,185,68,73,68,73
Jorge Pietro Teixeira Lima,72,72,2400000,22,188,79,73,50,67
Pedro Miguel Braga Rebocho,72,73,2500000,27,172,66,77,57,72
Gaëtan Courtet,72,72,1500000,33,180,73,65,75,70
Fodé Ballo-Touré,72,76,3000000,25,182,70,85,51,71
Caleb Ekuban,72,72,2400000,28,182,80,87,68,71
Alex Valera,72,75,3100000,26,183,79,69,75,69
Andy Yiadom,72,72,2000000,30,180,75,80,53,70
José Raúl Gutiérrez Parejo,72,77,3400000,25,177,74,66,67,69
Albert Guðmundsson,72,75,3100000,25,178,78,83,65,77
Christos Tzolis,72,80,5000000,20,184,73,86,69,73
Christofer Gonzáles,72,72,2300000,29,177,69,68,72,76
Walter Gargano,72,72,450000,37,167,73,64,55,61
Joel Tagueu,72,72,2400000,28,178,70,70,70,70
Álvaro Tejero Sacristán,72,75,2900000,25,174,69,80,64,71
Eliot Matazo,72,83,5000000,20,174,67,73,58,75
Jesper Karlström,72,74,2500000,27,182,81,67,54,67
Hugo Adryan Rubiães Chaves,72,72,2300000,26,175,75,67,61,69
Ghayas Zahid,72,72,2500000,27,174,66,74,63,74
Vital Nsimba,72,72,2100000,28,169,69,83,58,71
Youssouf Ndayishimiye,72,80,4900000,23,183,79,73,48,71
Mathieu Cafaro,72,75,3100000,25,178,74,75,68,75
Njegos? Petrovic´,72,81,5000000,22,185,72,58,51,63
Héctor Villalba,72,72,2500000,27,178,76,88,71,75
Otar Kiteishvili,72,74,2900000,26,173,65,73,67,75
Fábio Kel Melo Feijó,72,72,2600000,26,170,67,46,73,75
Obinna Nwobodo,72,76,3000000,25,179,72,82,62,70
Landry Dimata,72,74,3100000,24,185,81,76,70,69
Lucas Castro,72,72,1400000,33,182,76,66,68,74
Marcelo Estigarribia,72,72,1100000,34,181,71,75,65,70
Marcos Alam Bastos Domingues,72,72,2300000,30,183,74,62,65,73
Cristian Zapata,72,72,625000,35,188,78,37,33,59
Keinan Davis,72,77,3600000,24,191,82,69,69,72
Alireza Jahanbakhsh,72,72,2400000,28,180,78,77,72,74
Kristoffer Nordfeldt,72,72,750000,33,188,87,70,70,72
Anatoliy Trubin,72,80,4400000,20,198,86,66,72,77
Manprit Sarkaria,72,74,2900000,25,180,74,82,70,73
Octavian Popescu,72,85,5500000,19,180,66,82,68,76
Daniel Bachmann,72,72,1800000,27,191,81,71,67,73
Harold Moukoudi,72,77,3200000,24,191,96,43,32,49
Jamal Lewis,72,77,3300000,24,178,70,74,53,73
Hernán Menosse,72,72,625000,35,185,77,50,44,41
João Fabrício Bruinheira Salvador,72,72,400000,34,188,83,71,63,75
Johan Vásquez,72,81,4900000,23,185,72,65,32,56
Sead Hakabanovic,72,81,5000000,23,173,74,76,67,75
Santiago Rojas,72,76,2500000,26,189,93,72,67,74
Lucas Andersen,72,72,2500000,27,185,73,73,68,74
Michaël Cuisance,72,81,5000000,22,181,74,71,66,76
Jeremy Dudziak,72,73,2800000,26,176,70,73,62,77
Maxime Chanot,72,72,1500000,32,186,84,51,49,50
Adama Traoré,72,73,2700000,27,178,75,78,62,75
Marcelo Moreno Martins,72,72,1000000,35,183,86,54,78,67
Paulo Lucas Santos de Paula,72,76,3200000,25,175,74,77,64,77
Alexis Pérez,72,74,2400000,28,181,73,68,33,58
Kauã Ricardo Abranches Simões,72,72,2600000,26,177,70,84,64,73
Hannes Delcroix,72,78,3400000,23,185,78,71,33,62
Eduardo Gonzaga Mendes Santos,72,76,3000000,24,196,90,68,45,66
Tae Hwan Kim,72,72,1600000,32,177,72,87,53,67
Dogan Alemdar,72,80,4400000,19,189,73,71,70,71
Filip Stojkovic,72,72,2100000,29,180,76,70,42,66
Magnus Eriksson,72,72,1800000,32,180,79,51,69,68
Francisco Portillo Soler,72,72,1900000,32,169,60,64,69,73
André Filipe M. Ribeiro Ferreira,72,77,2700000,26,193,79,72,69,75
Kelivelson Vaz Laranjeiras,72,72,2300000,26,182,78,70,47,62
Mohamed Fares,72,73,2800000,26,183,72,75,63,75
Pietro Ceccaroni,72,75,2700000,26,188,76,69,30,54
Brayan Cortés,72,74,2100000,27,185,79,73,69,75
Rasmus Thelander,72,72,1900000,30,190,87,45,30,43
Erik Durm,72,72,2000000,30,182,70,71,55,68
Ale Cermák,72,73,2700000,27,180,74,66,67,72
Lewis Baker,72,73,2700000,27,182,72,66,69,72
Liam Henderson,72,75,3000000,26,183,76,73,64,72
Tomás Alarcón,72,81,4900000,23,174,68,62,52,61
Guido Burgstaller,72,72,1500000,33,187,80,59,73,67
Clinton Njie,72,72,2400000,28,175,68,84,68,76
Daizen Maeda,72,77,3500000,24,173,68,91,73,70
Federico Mattiello,72,72,2300000,26,184,70,72,64,73
Matteo Bianchetti,72,73,2200000,29,189,81,61,35,59
Francisco José Sánchez Rodríguez,72,73,2800000,26,173,71,76,72,73
Sebastián Pedroza,72,80,4900000,23,176,69,71,63,67
Niklas Moisander,72,72,425000,36,183,77,45,50,67
Samuel Adegbenro,72,72,2600000,26,178,75,90,69,76
Manuel Leonardo Conceição Paes,72,72,2800000,22,180,69,69,64,73
Javier Cabrera,72,72,2300000,30,168,62,73,62,75
Francisco José Olivas Alba,72,72,1100000,33,185,83,46,49,59
Matías Melluso,72,78,3500000,24,170,63,78,44,71
Janis Blaswich,72,72,1200000,31,193,89,71,70,76
Talles Magno Bacelar Martins,72,84,5500000,20,186,70,82,61,80
Alberto Grassi,72,73,2700000,27,183,75,64,63,73
Josué Filipe Soares Pesqueira,72,72,1900000,31,174,68,37,69,75
Jonathan Mensah,72,72,1600000,31,188,83,61,46,54
Stefanos Kapino,72,74,2000000,28,196,88,73,67,77
Conor Hourihane,72,72,1900000,31,180,62,55,68,69
Alexandru Cicâldau,72,75,0,24,178,76,66,69,72
Lázaro Vinicius Marques,72,85,5500000,20,181,75,69,58,73
Tony Jantschke,72,72,1500000,32,177,76,64,41,66
Daniel Raba Antolin,72,73,2800000,26,184,76,62,71,73
Sergio Akieme Rodríguez,72,79,4500000,24,175,70,79,44,69
Iván Jaime Pajuelo,72,82,5500000,21,180,72,72,70,73
Andreas Linde,72,74,2000000,28,196,93,75,68,75
Ignacio Peña Sotorres,72,81,4500000,23,184,78,71,67,72
Fabian Lustenberger,72,72,750000,34,182,73,39,37,61
Sebastião Erick Couteira Baía,72,72,2800000,22,178,70,74,62,74
Dersan Jaime Dinis Abravanel,72,72,2300000,30,176,70,78,66,67
Braian Cufré,72,77,3200000,25,178,79,78,64,69
Yann Bodiger,72,74,2500000,27,188,80,52,58,66
Samuel Almeida Costa,72,81,5000000,21,183,75,64,63,67
Ailton Jonas Valpaços Salazar,72,72,1900000,30,186,79,64,58,63
Michael Rangel,72,72,2000000,31,187,86,54,76,66
Robin Pröpper,72,73,2200000,28,190,78,48,53,56
Tomás Rincón,72,72,1100000,34,177,78,60,59,71
Aurélio Gabriel Ulineia Buta,72,75,3100000,25,172,66,93,59,74
Gil Bastião Dias,72,73,2800000,25,184,78,76,66,75
Ryan Donk,72,72,425000,36,192,80,37,65,63
Gaëtan Weissbeck,72,77,3400000,25,177,70,66,70,75
Jack O'Connell,72,74,2400000,28,191,85,55,37,60
Timmy Chandler,72,72,1900000,32,187,84,59,69,71
Pablo Lavandeira,72,72,1900000,32,172,70,70,73,71
Josip Staniic,72,81,5000000,22,187,77,71,39,64
Zinedine Ferhat,72,72,2300000,29,180,70,80,63,71
Fabiano Elton Sonta Pessoa,72,72,1900000,30,181,82,46,41,53
Ramón Ábila,72,72,1900000,32,177,93,66,71,70
Ajdin Hrustic,72,75,3100000,25,183,78,74,68,73
Dia Saba,72,72,2300000,29,168,74,78,71,74
Francisco Sierralta,72,77,3100000,25,190,83,52,30,53
Alan Aguerre,72,72,1200000,31,181,76,73,71,74
Mohamed Bouldini,72,75,3100000,26,184,80,80,71,69
Jérémy Le Douaron,72,76,3400000,24,189,78,70,70,71
Alexandre Corredera Alardi,72,75,3000000,26,178,72,64,65,71
Jefferson Duque,72,72,1000000,35,183,79,62,76,67
Romano Schmid,72,79,4800000,22,174,73,79,64,78
Iké Ugbo,72,78,3700000,23,185,73,76,70,69
Patrick Drewes,72,72,1600000,29,194,90,73,69,75
Rúben Barcelos De Sousa Lameiras,72,72,2500000,27,176,67,76,69,76
Josepmir Ballón,72,72,800000,34,180,80,70,63,67
Amato Ciciretti,72,72,2400000,28,170,74,81,68,72
Juan Antonio Iglesias Sánchez,72,79,4500000,23,185,76,71,37,64
Adrián Guerrero Aguilar,72,79,4500000,24,174,67,74,67,69
Hassan Al Haydos,72,72,0,31,170,66,79,65,75
Cristian Borja,72,72,2100000,29,180,73,85,50,69
Cristian Espinoza,72,72,2500000,27,173,73,81,64,73
Nicolás Gaitán,72,72,1100000,34,173,66,57,70,74
Aymen Barkok,72,78,3700000,24,189,82,76,65,78
Lorenzo Dickmann,72,75,2900000,25,177,70,71,53,68
Andrés Cadavid,72,72,425000,36,188,87,31,63,49
Kevin Diks,72,75,2900000,25,182,79,75,57,70
Emiliano Amor,72,74,2500000,27,190,80,51,36,52
Vlad Chiriche?,72,72,1500000,32,184,75,54,61,62
Ryan Ledson,72,75,2900000,24,175,69,63,56,66
Marko Rog,72,73,2700000,26,180,73,67,66,74
Guto Ramón Milazar Coimbra,72,72,2000000,30,170,68,73,40,64
Facundo Mura,72,77,3300000,23,171,69,78,54,70
Václav Jemelka,72,74,2500000,27,186,81,65,43,65
Wallace Fortuna Santos,72,74,2500000,27,191,85,68,28,49
Kamal Sowah,72,79,4800000,22,179,66,84,69,73
Paulo Henrique Soares dos Santos,72,72,2500000,27,168,58,81,71,76
Leandro Freddy Vivenço Morais,72,72,2800000,22,174,69,75,76,75
Felipe Mora,72,72,2400000,28,175,68,78,71,71
Bandar Al Ahbabi,72,72,1700000,31,170,60,84,51,71
Nélson Miguel Castro Oliveira,72,72,2300000,30,185,82,68,73,71
Thomas Monconduit,72,72,1600000,31,184,83,50,57,66
Danovis Banguero,72,72,1600000,32,185,85,78,58,62
Leonardo Henriques Coelho,72,73,2200000,29,189,87,69,43,57
Loïc Négo,72,72,0,31,181,71,80,67,71
Michael Barrios,72,72,1900000,31,162,61,85,66,75
Sandi Lovric,72,79,4700000,24,180,75,53,64,70
Sebastián Torrico,72,72,250000,42,183,84,66,71,73
Siebe Schrijvers,72,75,3100000,25,180,67,67,72,73
Xavier Torres Buigues,72,72,650000,35,179,82,59,60,64
Luiz Lúcio Reis Júnior,72,82,4600000,21,194,88,72,71,73
Fredrik Andre Bjørkan,72,77,3300000,23,180,74,78,52,72
Badou Ndiaye,72,72,1900000,31,180,76,82,69,75
Ferran Jutglà Blanch,72,80,5000000,23,174,79,76,72,76
Mateusz Lis,72,77,2700000,25,192,83,74,71,75
Fábio Samuel Amorim Silva,72,75,3000000,26,170,64,73,69,77
Leonel Di Plácido,72,72,2100000,28,176,72,86,60,73
Matt Hedges,72,72,1500000,32,193,93,41,28,53
Oguzhan Özyakup,72,72,2300000,29,180,75,57,68,77
Diego Mariño Villar,72,72,1200000,32,187,77,73,71,75
Lucas Da Cunha,72,78,3800000,21,176,69,76,68,74
Hernán Barcos,72,72,800000,38,187,91,53,74,66
Noë Dussenne,72,72,1900000,30,192,85,35,34,52
Rivaldo Coetzee,72,79,4300000,25,180,76,76,29,64
Mikel Villanueva,72,72,2000000,29,192,79,64,40,62
Carlos Cuesta,72,79,4400000,23,179,81,74,28,64
Enrique Bologna,72,72,250000,40,189,87,74,67,74
Jack Robinson,72,72,2000000,28,180,67,69,41,61
Lisandro López,72,72,800000,39,174,74,63,72,72
Berat Özdemir,72,76,3100000,24,187,76,68,60,68
Ciaran Clark,72,72,1500000,32,185,88,35,51,54
Almoez Ali,72,75,0,25,184,69,76,74,64
Liberato Cacace,72,82,5000000,21,184,81,80,62,69
Oleksandr Zubkov,72,73,2800000,25,182,71,83,71,72
Elijah Adebayo,72,76,3400000,24,193,89,73,71,68
Florin Tanase,72,72,0,27,185,71,74,72,69
Loris Karius,72,72,1600000,29,189,87,75,66,75
Alexander Alvarado,72,80,5000000,23,165,69,82,68,72
Tijjani Reijnders,72,77,3500000,23,185,73,79,68,75
Seny Dieng,72,75,2300000,27,193,90,70,68,75
Yoshimar Yotún,72,72,1800000,32,172,69,62,68,71
Horacio Calcaterra,72,72,1400000,33,178,70,66,66,70
Gastón Suso,72,72,1600000,31,190,82,52,41,51
Damian Dabrowski,72,72,2000000,29,182,81,70,56,66
Sam Byram,72,72,2100000,28,183,72,74,57,69
André Hansen,72,72,1200000,32,189,87,73,70,74
Theo Walcott,72,72,1500000,33,176,68,74,68,74
Yoann Court,72,72,1900000,32,172,70,68,65,72
Kristjan Asllani,72,84,5500000,20,175,68,66,61,70
Giovanni González,72,72,2300000,27,173,73,73,43,65
Sam Beukema,72,80,4900000,23,188,77,66,55,60
Exequiel Zeballos,72,85,5500000,20,174,71,85,63,77
Jamie Paterson,72,72,2300000,30,175,68,75,67,73
Hugo Cuypers,72,76,3300000,25,185,78,75,72,68
Richard Schunke,72,72,1900000,30,185,80,59,34,54
Boko utalo,72,79,4400000,22,188,72,61,44,63
Giulio Donati,72,72,1500000,32,178,76,66,42,62
Mats Møller Dæhli,72,73,2700000,27,172,70,77,55,80
Fredy Hinestroza,72,72,1900000,32,177,68,88,63,73
Marvin Wanitzek,72,72,2300000,29,179,74,70,65,73
Wylan Cyprien,72,73,2400000,27,180,78,64,69,72
Andrea Cambiaso,72,82,5000000,22,181,72,74,54,71
Samuel Kalu,72,75,3200000,24,177,78,85,64,75
Anastasios Chatzigiovanis,72,75,3100000,25,175,62,81,65,74
Volodymyr Shepelev,72,76,3200000,25,184,73,64,63,69
Won Sang Um,72,80,5000000,23,171,63,93,66,74
Bradley Dack,72,72,2400000,28,173,71,70,70,75
Winston Reid,72,72,0,33,190,87,53,51,47
Marco Benassi,72,72,2500000,27,184,80,54,70,75
Ale Mateju,72,72,2300000,26,185,84,73,49,68
Maxime Estève,72,82,4800000,20,193,87,67,33,54
Faitout Maouassa,72,75,3000000,23,170,73,78,64,74
Ismael Sosa,72,72,1000000,35,179,74,75,72,72
Michele Castagnetti,72,72,1600000,32,180,71,57,70,68
Roberto Insigne,72,72,2400000,28,172,65,82,65,74
Patricio Rubio,72,72,1500000,33,174,81,72,71,70
Eray Cömert,72,78,3400000,24,183,80,74,49,56
Lucas Cháves,72,73,2100000,26,178,75,75,68,72
Ádám Nagy,72,74,2500000,27,178,70,68,54,73
Samir Memievic,72,72,2000000,28,186,76,59,50,62
Kristian Thorstvedt,72,79,4700000,23,189,84,63,72,72
Mikael Ishak,72,72,2300000,29,184,81,72,73,65
Daniel Ojeda Saranova,72,72,2500000,27,178,72,74,67,73
Woo Yeong Jeong,72,77,3600000,22,179,69,82,63,77
Sadegh Moharrami,72,74,2700000,26,174,71,80,30,68
Yvann Maçon,72,78,3500000,23,176,74,88,50,72
John Souttar,72,76,2900000,25,189,75,66,44,64
Alan Franco,72,78,3300000,25,183,77,59,34,66
Marco Grüll,72,77,3500000,23,182,74,86,70,74
Heitor Edvaldo Barreto Gesser,72,72,2300000,26,178,69,78,55,64
Joe Gelhardt,72,87,5500000,20,179,76,75,72,77
Terem Moffi,72,78,3700000,23,188,82,72,72,68
Lorenzo Crisetig,72,72,2000000,29,184,80,49,58,70
Alex Mowatt,72,72,2500000,27,177,71,56,69,70
Pablo Pérez,72,72,750000,36,177,75,54,66,71
João Rodolfo Bardinho Barros,72,72,2300000,26,177,71,71,58,73
Valon Berisha,72,72,2300000,29,176,81,68,67,75
Igor Guilherme Barbosa da Paixão,72,82,5500000,22,168,65,80,60,78
Yesus Cabrera,72,72,1900000,31,168,60,75,65,77
Ben Osborn,72,72,2300000,27,176,75,71,65,72
Niclas Eliasson,72,73,2800000,26,178,70,88,60,75
Yoann Salmier,72,73,2200000,29,188,85,37,28,52
Antônio Felipe Macedo Calegari,72,72,800000,38,175,75,66,70,65
Luiz Santiago Sacramento Cruz,72,72,250000,38,188,77,74,68,71
Caio Bruno Milaçar Kenedy,72,72,2600000,26,170,67,66,68,76
Anthony Jung,72,72,2000000,30,185,81,66,60,65
Iago Azevedo dos Santos,72,72,1900000,30,188,85,47,30,53
Ashley Barnes,72,72,1900000,32,186,84,51,73,70
Ivor Pandur,72,79,4099999,22,187,78,71,69,77
Anselmo de Moraes,72,72,1400000,33,182,80,66,68,71
Dener Gomes Clemente,72,72,2200000,30,189,78,65,67,70
Chang Min Lee,72,72,2300000,28,179,77,67,67,69
Francis Amuzu,72,78,3800000,22,170,65,89,64,74
Adam Vlkanova,72,72,2500000,27,169,62,73,64,75
Matheus de Mello Costa,72,75,2700000,27,188,82,82,33,53
Timoteo Samuel Triano Branco,72,72,2300000,26,176,76,48,46,64
Emre Akbaba,72,72,2300000,29,180,73,61,73,70
Sultan Al Ghannam,72,72,2100000,28,174,62,81,59,71
Giorgos Kyriakopoulos,72,74,2700000,26,178,74,67,48,71
Alassane Ndao,72,75,3100000,25,176,68,82,63,73
Francisco Ribeiro Tomé,72,73,2800000,26,171,66,75,69,75
Zaydou Youssouf,72,78,3700000,22,182,81,64,58,76
Agustín Álvarez Martínez,72,80,5500000,21,177,75,70,72,68
Domagoj Antolic,72,72,1900000,31,180,73,55,69,69
Ohi Omoijuanfo,72,72,2400000,28,188,75,75,72,68
Patrick Cutrone,72,77,3600000,24,183,79,72,70,71
Durval Hélton Vieira Aldair,72,72,2000000,30,180,79,68,45,67
Jaidon Anthony,72,79,4800000,22,183,68,79,64,73
Zinho Vanheusden,72,79,4400000,22,187,78,55,45,65
Patrick Bauer,72,72,2000000,29,192,88,32,45,46
Kevin Stöger,72,72,2300000,28,175,74,56,68,76
Milo Degenek,72,73,2200000,28,187,82,76,61,60
Numa Lavanchy,72,72,2100000,28,174,73,80,62,70
Florian Tardieu,72,72,2000000,30,184,70,48,63,67
Mbwana Ally Samatta,72,72,2300000,29,183,80,84,70,69
Ludek Pernica,72,72,1500000,32,187,90,68,50,59
Andrea Cistana,72,75,2800000,25,185,78,68,52,64
Kevin Sandoval,72,75,3100000,25,173,69,77,70,73
Bastian Oczipka,72,72,1200000,33,185,85,66,59,63
Maxime Le Marchand,72,72,1500000,32,185,77,60,39,65
Juan Gabriel Rodríguez,72,73,2200000,28,185,81,69,39,64
Magnus Wolff Eikrem,72,72,2000000,31,184,69,64,69,74
Hernán Toledo,72,73,2800000,26,179,72,80,66,73
Dominik Holec,72,74,2100000,27,191,89,72,68,75
Kellyn Acosta,72,73,2700000,26,178,68,76,67,72
Oghenekaro Etebo,72,74,2600000,26,176,70,71,65,73
Mirko Pigliacelli,72,72,1600000,29,184,83,69,71,71
Anton Tinnerholm,72,72,1700000,31,176,75,71,52,69
Alejandro Pozo Pozo,72,79,4500000,23,173,62,75,68,74
Flávio Raphael Rebeilo Mestres,72,72,2000000,30,175,69,79,44,71
Joe Rodon,72,80,4900000,24,193,88,58,29,57
Charly Musonda,72,75,3100000,25,173,66,77,63,79
Laurent Depoitre,72,72,1500000,33,191,91,51,71,61
João Pedro Reis Amaral,72,72,2300000,30,172,67,81,68,73
Rune Almenning Jarstein,72,72,250000,37,192,88,72,70,71
Emre Kilinç,72,72,2500000,27,174,68,75,69,74
Agustín Urzi,72,83,5500000,22,168,61,85,63,74
Alejandro Bedoya,72,72,950000,35,178,73,60,65,72
Václav Jurecka,72,72,2400000,28,182,78,75,71,69
Joel Soñora,72,75,3100000,25,174,73,82,68,75
Tomás Belmonte,72,78,3700000,24,178,68,68,65,73
Cristian Buonaiuto,72,72,2300000,29,179,68,77,72,70
Seung Hyun Jeong,72,74,2400000,28,188,74,43,29,43
Morten Frendrup,72,81,5000000,21,178,70,79,52,71
James Garner,72,82,5000000,21,182,80,67,63,68
Jérémy Mellot,72,72,2100000,28,178,77,81,42,67
Jean-Luc Dompé,72,72,2600000,26,170,65,73,69,75
Alex Ferrari,72,73,2200000,28,191,80,63,35,63
Greg Taylor,72,77,3300000,24,170,68,72,49,71
Arijanet Muric,72,80,4500000,23,197,81,72,71,74
Mame Diouf,72,72,1100000,34,185,79,66,71,67
Matías Catalán,72,72,2000000,29,182,78,84,58,64
Alberto Paleari,72,72,1600000,29,193,88,73,70,72
Viktor Korniienko,72,81,5000000,23,175,70,77,52,72
Andrés Cubas,72,75,3000000,26,166,60,69,54,73
Vincent Pule,72,72,2300000,30,169,64,82,77,73
Patrick Mainka,72,73,2400000,27,194,86,55,40,53
Hannes Wolf,72,79,4700000,23,179,71,76,68,76
Ricky van Wolfswinkel,72,72,1500000,33,185,72,65,73,69
Paul Nardi,72,74,2000000,28,187,77,74,66,76
Fabricio Díaz,72,83,4800000,19,176,69,70,64,72
Yuri de Souza Fonseca,72,72,800000,39,186,78,64,74,70
Jérôme Onguéné,72,78,3400000,24,186,78,72,38,59
Evandro Sérgio Rochedo Paulino,72,72,2600000,26,187,82,55,75,70
Saba Lobjanidze,72,72,2500000,27,175,62,88,66,76
Mats Seuntjens,72,72,2300000,30,187,81,77,73,71
Hiroki Ito,72,77,3200000,23,188,84,84,54,65
Meschack Elia,72,77,3600000,24,173,67,91,70,76
Lee Nicholls,72,74,1900000,29,191,85,73,71,74
Emil Bohinen,72,79,4700000,23,189,81,67,62,73
Darwin Quintero,72,72,1100000,34,166,66,73,69,76
Alan Browne,72,72,2500000,27,173,71,75,69,71
Rey Manaj,72,76,3300000,25,182,76,67,72,71
Leart Paqarada,72,72,2300000,27,184,76,76,47,70
Richie Laryea,72,72,2300000,27,175,70,83,60,71
Gerson Rodrigues Gouveia,72,72,2500000,27,185,85,86,68,69
Gustavo Rafael Lobateiro Gomes,72,72,2800000,22,180,76,77,65,72
Kingsley Ehizibue,72,73,2500000,27,189,78,88,57,69
Darnell Furlong,72,75,2800000,26,183,75,74,36,69
Nick Powell,72,72,2400000,28,183,65,67,72,72
Rogério Oliveira da Silva,72,76,3100000,24,178,70,74,53,74
Luká Sadílek,72,75,3000000,26,179,64,71,62,73
Diego Viera,72,72,1600000,31,186,89,31,27,49
Tony Josimar Mutto Abrão,72,72,2300000,26,183,80,69,48,64
Samuel Moutoussamy,72,75,3100000,25,176,72,68,58,75
Jesse Joronen,72,73,1800000,29,197,89,70,70,72
Durval Murilo Dutría Pereira,72,72,2200000,30,177,76,68,69,71
Alexander Schlager,72,75,2400000,26,184,77,72,68,74
Craig Cathcart,72,72,1100000,33,190,83,35,37,53
Danny Latza,72,72,1800000,32,179,73,57,61,73
Dominik Greif,72,78,2900000,25,197,82,70,73,70
Jesper Hansen,72,72,250000,37,188,78,70,70,72
Dimitrios Kourbelis,72,72,2100000,28,181,74,75,52,67
Nicolas Gavory,72,72,2300000,27,183,79,66,62,70
Max Lowe,72,77,3200000,25,175,74,80,46,73
Johan Dahlin,72,72,250000,35,192,94,67,71,68
Alexandre Oukidja,72,72,750000,33,184,80,69,71,72
Panagiotis Tachtsidis,72,72,1900000,31,191,90,46,62,65
Martín Satriano,72,81,5500000,21,187,75,65,72,71
Túlio Sebastião Changas Tramontino,72,72,1900000,26,180,79,72,71,73
Leonardo Pavoletti,72,72,1500000,33,188,85,63,69,64
Kevin Mier,72,84,5000000,22,190,73,72,70,74
